datetime,Vancouver,Portland,San Francisco,Seattle,Year,ds
2012-10-01,3130.8284606489997,3103.30017229,3183.583066603,3099.439885138,2012,2012-10-01 13:00:00
2012-10-02,6867.484555733001,6867.305477386999,7030.999343555999,6843.765322765001,2012,2012-10-02 00:00:00
2012-10-03,6852.675000000001,6950.395,7126.3,6904.175,2012,2012-10-03 00:00:00
2012-10-04,6824.959999999999,6875.579999999999,7096.49,6825.4,2012,2012-10-04 00:00:00
2012-10-05,6810.175,6918.864999999999,6975.250000000001,6834.15,2012,2012-10-05 00:00:00
2012-10-06,6835.819999999998,6918.985000000001,6960.249999999999,6856.19,2012,2012-10-06 00:00:00
2012-10-07,6854.300000000001,6918.3,6949.7699999999995,6868.4000000000015,2012,2012-10-07 00:00:00
2012-10-08,6862.6399999999985,6923.69,6924.250000000002,6891.46,2012,2012-10-08 00:00:00
2012-10-09,6862.975,6844.64,6920.395,6880.985000000001,2012,2012-10-09 00:00:00
2012-10-10,6837.935,6824.735000000001,6924.150000000001,6863.069999999999,2012,2012-10-10 00:00:00
2012-10-11,6811.889999999999,6878.395,6956.6900000000005,6901.350000000002,2012,2012-10-11 00:00:00
2012-10-12,6803.850000000001,6808.35,6888.120000000001,6807.659999999999,2012,2012-10-12 00:00:00
2012-10-13,6812.06,6836.15,6900.31,6844.120000000001,2012,2012-10-13 00:00:00
2012-10-14,6841.75,6871.940000000002,6899.69,6865.2,2012,2012-10-14 00:00:00
2012-10-15,6875.53,6910.279999999999,6950.490000000001,6911.279999999999,2012,2012-10-15 00:00:00
2012-10-16,6840.600000000001,6930.110000000001,6966.569999999999,6884.579999999999,2012,2012-10-16 00:00:00
2012-10-17,6841.6799999999985,6909.74,7024.5,6875.0199999999995,2012,2012-10-17 00:00:00
2012-10-18,6774.959999999999,6784.699999999999,7011.040000000001,6783.860000000001,2012,2012-10-18 00:00:00
2012-10-19,6791.570000000001,6802.650000000001,7046.37,6818.98,2012,2012-10-19 00:00:00
2012-10-20,6819.659999999999,6872.58,7020.179999999999,6865.519999999998,2012,2012-10-20 00:00:00
2012-10-21,6754.01,6792.900000000001,6933.985000000001,6742.895,2012,2012-10-21 00:00:00
2012-10-22,6701.3099999999995,6729.71,6881.365,6718.8099999999995,2012,2012-10-22 00:00:00
2012-10-23,6697.879999999998,6741.530000000001,6877.120000000001,6678.17,2012,2012-10-23 00:00:00
2012-10-24,6704.219999999999,6723.34,6863.17,6713.3899999999985,2012,2012-10-24 00:00:00
2012-10-25,6713.064999999999,6740.459999999998,6870.1449999999995,6734.165000000001,2012,2012-10-25 00:00:00
2012-10-26,6711.789999999999,6738.74,6891.37,6734.16,2012,2012-10-26 00:00:00
2012-10-27,6727.289999999999,6749.8200000000015,6893.29,6739.869999999999,2012,2012-10-27 00:00:00
2012-10-28,6729.070000000001,6799.290000000001,6951.520000000001,6786.799999999998,2012,2012-10-28 00:00:00
2012-10-29,6778.639999999999,6900.9800000000005,6972.56,6848.48,2012,2012-10-29 00:00:00
2012-10-30,6789.649999999998,6923.2699999999995,6922.59,6863.520000000001,2012,2012-10-30 00:00:00
2012-10-31,6827.489999999999,6898.26,6897.690000000001,6860.339999999998,2012,2012-10-31 00:00:00
2012-11-01,6813.69,6886.420000000001,6915.07,6874.179999999999,2012,2012-11-01 00:00:00
2012-11-02,6822.25,6856.470000000001,6932.53,6843.42,2012,2012-11-02 00:00:00
2012-11-03,6830.760000000001,6844.600000000001,6873.2699999999995,6846.52,2012,2012-11-03 00:00:00
2012-11-04,6825.459999999998,6860.575000000002,6891.105000000001,6843.944999999999,2012,2012-11-04 00:00:00
2012-11-05,6822.92,6918.030000000001,6950.284999999999,6870.49,2012,2012-11-05 00:00:00
2012-11-06,6840.090000000001,6937.660000000001,7025.870000000001,6872.87,2012,2012-11-06 00:00:00
2012-11-07,6768.48,6846.090000000001,6993.09,6781.389999999999,2012,2012-11-07 00:00:00
2012-11-08,6763.610000000001,6798.3,6915.129999999999,6787.5700000000015,2012,2012-11-08 00:00:00
2012-11-09,6698.569999999999,6700.119999999997,6868.24,6688.93,2012,2012-11-09 00:00:00
2012-11-10,6671.58,6670.710000000001,6786.259999999999,6660.900000000001,2012,2012-11-10 00:00:00
2012-11-11,6647.859999999999,6643.94,6796.679999999999,6612.140000000001,2012,2012-11-11 00:00:00
2012-11-12,6652.4,6657.664999999998,6783.310000000001,6634.220000000001,2012,2012-11-12 00:00:00
2012-11-13,6672.700000000001,6741.84,6781.68,6720.68,2012,2012-11-13 00:00:00
2012-11-14,6728.450000000001,6778.9000000000015,6823.41,6776.489999999999,2012,2012-11-14 00:00:00
2012-11-15,6742.42,6795.469999999999,6887.5099999999975,6767.839999999999,2012,2012-11-15 00:00:00
2012-11-16,6724.135,6735.855,6888.17,6711.420000000001,2012,2012-11-16 00:00:00
2012-11-17,6718.35,6758.929999999999,6920.969999999999,6701.61,2012,2012-11-17 00:00:00
2012-11-18,6762.350000000001,6759.04,6903.609999999999,6767.425,2012,2012-11-18 00:00:00
2012-11-19,6722.53,6727.410000000001,6870.31,6715.98,2012,2012-11-19 00:00:00
2012-11-20,6749.510000000002,6813.15,6883.85,6778.9,2012,2012-11-20 00:00:00
2012-11-21,6731.880000000001,6805.200000000001,6919.700000000001,6769.310000000001,2012,2012-11-21 00:00:00
2012-11-22,6694.95,6740.1,6928.52,6723.07,2012,2012-11-22 00:00:00
2012-11-23,6676.419999999999,6668.0700000000015,6830.350000000001,6679.639999999999,2012,2012-11-23 00:00:00
2012-11-24,6725.619999999999,6711.12,6836.030000000001,6728.710000000001,2012,2012-11-24 00:00:00
2012-11-25,6712.580000000001,6772.94,6854.730000000002,6748.040000000001,2012,2012-11-25 00:00:00
2012-11-26,6671.719999999999,6671.789999999999,6840.94,6676.815,2012,2012-11-26 00:00:00
2012-11-27,6617.870000000002,6712.46,6813.4000000000015,6650.72,2012,2012-11-27 00:00:00
2012-11-28,6636.230000000002,6645.58,6845.490000000001,6660.13,2012,2012-11-28 00:00:00
2012-11-29,6665.8,6674.03,6886.96,6686.910000000001,2012,2012-11-29 00:00:00
2012-11-30,6771.834999999999,6735.495000000001,6900.364999999999,6748.660000000001,2012,2012-11-30 00:00:00
2012-12-01,6777.150000000001,6772.93,6929.869999999999,6787.060000000001,2012,2012-12-01 00:00:00
2012-12-02,6763.21,6789.615000000001,6913.030000000001,6774.925000000001,2012,2012-12-02 00:00:00
2012-12-03,6732.569999999999,6759.51,6916.2,6748.989999999999,2012,2012-12-03 00:00:00
2012-12-04,6730.875,6772.465000000001,6798.62,6739.8600000000015,2012,2012-12-04 00:00:00
2012-12-05,6748.035,6805.340000000001,6855.9349999999995,6769.565,2012,2012-12-05 00:00:00
2012-12-06,6694.200000000001,6736.39,6910.140000000002,6718.52,2012,2012-12-06 00:00:00
2012-12-07,6687.681000000001,6685.2535,6881.005,6700.64,2012,2012-12-07 00:00:00
2012-12-08,6662.6,6734.4400000000005,6815.160000000001,6700.509999999999,2012,2012-12-08 00:00:00
2012-12-09,6684.994999999998,6660.545,6813.06,6670.67,2012,2012-12-09 00:00:00
2012-12-10,6614.16,6680.05,6821.67,6646.610000000001,2012,2012-12-10 00:00:00
2012-12-11,6645.509999999998,6748.16,6895.28,6692.82,2012,2012-12-11 00:00:00
2012-12-12,6675.985,6716.71,6810.239999999999,6700.5599999999995,2012,2012-12-12 00:00:00
2012-12-13,6662.69,6691.36,6814.700000000001,6690.59,2012,2012-12-13 00:00:00
2012-12-14,6668.020000000001,6672.53,6731.47,6675.33,2012,2012-12-14 00:00:00
2012-12-15,6637.28,6650.159999999999,6723.459999999999,6664.960000000001,2012,2012-12-15 00:00:00
2012-12-16,6627.750000000002,6616.979999999999,6703.035,6610.744999999999,2012,2012-12-16 00:00:00
2012-12-17,6635.9400000000005,6652.28,6762.57,6635.409999999999,2012,2012-12-17 00:00:00
2012-12-18,6632.470000000001,6709.009999999999,6857.289999999999,6686.14,2012,2012-12-18 00:00:00
2012-12-19,6604.7699999999995,6605.589999999999,6765.05,6609.630000000001,2012,2012-12-19 00:00:00
